,sepal_length,sepal_width,species
0,5.1,3.5,setosa
1,4.9,3.0,setosa
2,4.7,3.2,setosa
3,4.6,3.1,setosa
4,5.0,3.6,setosa
5,5.4,3.9,setosa
6,4.6,3.4,setosa
7,5.0,3.4,setosa
8,4.4,2.9,setosa
9,4.9,3.1,setosa
10,5.4,3.7,setosa
11,4.8,3.4,setosa
12,4.8,3.0,setosa
13,4.3,3.0,setosa
14,5.8,4.0,setosa
15,5.7,4.4,setosa
16,5.4,3.9,setosa
17,5.1,3.5,setosa
18,5.7,3.8,setosa
19,5.1,3.8,setosa
20,5.4,3.4,setosa
21,5.1,3.7,setosa
22,4.6,3.6,setosa
23,5.1,3.3,setosa
24,4.8,3.4,setosa
25,5.0,3.0,setosa
26,5.0,3.4,setosa
27,5.2,3.5,setosa
28,5.2,3.4,setosa
29,4.7,3.2,setosa
30,4.8,3.1,setosa
31,5.4,3.4,setosa
32,5.2,4.1,setosa
33,5.5,4.2,setosa
34,4.9,3.1,setosa
35,5.0,3.2,setosa
36,5.5,3.5,setosa
37,4.9,3.6,setosa
38,4.4,3.0,setosa
39,5.1,3.4,setosa
40,5.0,3.5,setosa
41,4.5,2.3,setosa
42,4.4,3.2,setosa
43,5.0,3.5,setosa
44,5.1,3.8,setosa
45,4.8,3.0,setosa
46,5.1,3.8,setosa
47,4.6,3.2,setosa
48,5.3,3.7,setosa
49,5.0,3.3,setosa
50,7.0,3.2,versicolor
51,6.4,3.2,versicolor
52,6.9,3.1,versicolor
53,5.5,2.3,versicolor
54,6.5,2.8,versicolor
55,5.7,2.8,versicolor
56,6.3,3.3,versicolor
57,4.9,2.4,versicolor
58,6.6,2.9,versicolor
59,5.2,2.7,versicolor
60,5.0,2.0,versicolor
61,5.9,3.0,versicolor
62,6.0,2.2,versicolor
63,6.1,2.9,versicolor
64,5.6,2.9,versicolor
65,6.7,3.1,versicolor
66,5.6,3.0,versicolor
67,5.8,2.7,versicolor
68,6.2,2.2,versicolor
69,5.6,2.5,versicolor
70,5.9,3.2,versicolor
71,6.1,2.8,versicolor
72,6.3,2.5,versicolor
73,6.1,2.8,versicolor
74,6.4,2.9,versicolor
75,6.6,3.0,versicolor
76,6.8,2.8,versicolor
77,6.7,3.0,versicolor
78,6.0,2.9,versicolor
79,5.7,2.6,versicolor
80,5.5,2.4,versicolor
81,5.5,2.4,versicolor
82,5.8,2.7,versicolor
83,6.0,2.7,versicolor
84,5.4,3.0,versicolor
85,6.0,3.4,versicolor
86,6.7,3.1,versicolor
87,6.3,2.3,versicolor
88,5.6,3.0,versicolor
89,5.5,2.5,versicolor
90,5.5,2.6,versicolor
91,6.1,3.0,versicolor
92,5.8,2.6,versicolor
93,5.0,2.3,versicolor
94,5.6,2.7,versicolor
95,5.7,3.0,versicolor
96,5.7,2.9,versicolor
97,6.2,2.9,versicolor
98,5.1,2.5,versicolor
99,5.7,2.8,versicolor
100,6.3,3.3,virginica
101,5.8,2.7,virginica
102,7.1,3.0,virginica
103,6.3,2.9,virginica
104,6.5,3.0,virginica
105,7.6,3.0,virginica
106,4.9,2.5,virginica
107,7.3,2.9,virginica
108,6.7,2.5,virginica
109,7.2,3.6,virginica
110,6.5,3.2,virginica
111,6.4,2.7,virginica
112,6.8,3.0,virginica
113,5.7,2.5,virginica
114,5.8,2.8,virginica
115,6.4,3.2,virginica
116,6.5,3.0,virginica
117,7.7,3.8,virginica
118,7.7,2.6,virginica
119,6.0,2.2,virginica
120,6.9,3.2,virginica
121,5.6,2.8,virginica
122,7.7,2.8,virginica
123,6.3,2.7,virginica
124,6.7,3.3,virginica
125,7.2,3.2,virginica
126,6.2,2.8,virginica
127,6.1,3.0,virginica
128,6.4,2.8,virginica
129,7.2,3.0,virginica
130,7.4,2.8,virginica
131,7.9,3.8,virginica
132,6.4,2.8,virginica
133,6.3,2.8,virginica
134,6.1,2.6,virginica
135,7.7,3.0,virginica
136,6.3,3.4,virginica
137,6.4,3.1,virginica
138,6.0,3.0,virginica
139,6.9,3.1,virginica
140,6.7,3.1,virginica
141,6.9,3.1,virginica
142,5.8,2.7,virginica
143,6.8,3.2,virginica
144,6.7,3.3,virginica
145,6.7,3.0,virginica
146,6.3,2.5,virginica
147,6.5,3.0,virginica
148,6.2,3.4,virginica
149,5.9,3.0,virginica
