date,symbol,open,high,low,close,volume
2019-03-01,AMZN,1655.13,1674.26,1651,1671.73,4974877
2019-03-04,AMZN,1685,1709.43,1674.36,1696.17,6167358
2019-03-05,AMZN,1702.95,1707.8,1689.01,1692.43,3681522
2019-03-06,AMZN,1695.97,1697.75,1668.28,1668.95,3996001
2019-03-07,AMZN,1667.37,1669.75,1620.51,1625.95,4957017
2019-03-01,AAPL,174.28,175.15,172.89,174.97,25886167
2019-03-04,AAPL,175.69,177.75,173.97,175.85,27436203
2019-03-05,AAPL,175.94,176,174.54,175.53,19737419
2019-03-06,AAPL,174.67,175.49,173.94,174.52,20810384
2019-03-07,AAPL,173.87,174.44,172.02,172.5,24796374
2019-03-01,GOOG,1124.9,1142.97,1124.75,1140.99,1450316
2019-03-04,GOOG,1146.99,1158.28,1130.69,1147.8,1446047
2019-03-05,GOOG,1150.06,1169.61,1146.19,1162.03,1443174
2019-03-06,GOOG,1162.49,1167.57,1155.49,1157.86,1099289
2019-03-07,GOOG,1155.72,1156.76,1134.91,1143.3,1166559
